Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,OnTimeDelivery
D,Ship,4,2,125,10,medium,F,11,5150,0
B,Flight,3,3,75,10,low,F,48,5772,1
B,Flight,2,1,130,6,medium,F,20,7437,0
F,Ship,7,4,157,5,high,M,38,7103,0
D,Ship,7,5,102,7,medium,F,61,4360,1
F,Flight,4,5,112,6,low,F,57,2574,1
C,Flight,5,5,60,6,medium,F,61,1771,0
B,Ship,2,5,82,9,medium,M,35,4468,0
F,Flight,4,5,90,6,low,M,44,5790,1
C,Flight,6,5,89,2,medium,M,14,3510,1
F,Road,4,5,223,6,low,F,61,1705,0
D,Road,6,4,53,6,medium,F,37,7079,1
D,Road,6,5,273,6,high,M,63,6578,1
D,Road,7,5,272,4,high,F,8,6973,1
D,Road,4,3,60,10,medium,M,24,2304,1
A,Flight,7,4,258,6,low,M,64,2822,0
C,Flight,7,3,204,3,low,M,19,5458,0
C,Road,3,2,57,6,low,F,27,3520,0
D,Ship,3,5,198,10,low,M,48,5223,1
A,Road,7,1,274,9,medium,M,33,1617,1
D,Ship,7,5,176,7,medium,F,19,2753,1
A,Flight,6,5,291,10,low,M,21,5677,1
D,Ship,7,3,176,8,medium,M,43,5651,0
B,Flight,2,2,54,3,medium,F,46,7517,0
B,Ship,4,3,239,2,high,F,24,6180,0
F,Flight,2,4,81,4,high,M,21,3161,0
D,Flight,3,2,138,5,medium,M,60,2392,1
C,Road,2,2,107,10,medium,F,51,6273,1
F,Flight,5,2,121,6,low,M,19,1569,0
B,Road,5,3,204,3,low,F,19,6488,0
D,Road,3,5,75,6,medium,F,44,3151,1
F,Road,2,5,217,3,medium,M,36,3760,0
D,Ship,4,5,78,10,medium,M,14,2055,0
B,Ship,3,5,250,7,low,F,8,6284,0
F,Flight,5,5,131,6,high,M,43,4030,0
B,Road,3,4,56,3,low,M,14,2224,0
A,Road,2,1,155,8,low,F,43,526,1
B,Flight,2,2,70,8,low,M,11,2796,1
D,Road,2,1,257,3,low,F,26,2448,1
C,Flight,6,4,244,7,medium,M,18,5432,0
B,Road,2,5,145,4,low,M,24,6374,1
C,Ship,7,4,59,9,medium,F,63,2274,0
A,Flight,5,4,111,6,medium,F,11,3620,1
F,Flight,5,1,273,9,low,M,49,630,1
F,Ship,6,2,185,8,low,M,10,6630,0
C,Flight,5,3,273,9,low,F,22,2488,0
F,Ship,5,3,163,2,low,F,14,3499,0
B,Road,3,2,53,7,low,M,62,1705,1
C,Ship,2,5,206,4,low,F,19,1659,1
D,Ship,7,4,189,6,high,F,9,6186,0
B,Flight,7,5,294,3,medium,F,60,5332,1
B,Road,3,4,278,5,medium,F,46,4545,0
B,Ship,7,3,149,7,medium,F,48,2973,1
D,Road,3,2,228,2,medium,F,48,5266,1
A,Ship,7,1,68,3,medium,F,32,7419,1
F,Flight,5,1,278,3,low,F,22,2868,1
C,Ship,4,2,160,10,medium,M,52,7672,1
A,Ship,2,3,80,6,medium,F,36,2918,0
C,Road,4,4,157,6,medium,M,21,986,1
F,Ship,5,1,75,7,high,M,1,5752,0
D,Flight,6,3,158,4,low,F,19,5653,0
B,Flight,3,2,183,10,medium,M,4,5346,0
B,Ship,7,5,78,4,medium,F,2,6644,1
D,Ship,7,3,66,5,high,M,11,5425,1
A,Road,5,3,197,10,medium,M,31,3581,0
A,Road,7,5,219,9,medium,F,57,2521,0
C,Flight,5,3,159,7,medium,F,39,5441,0
D,Road,4,1,224,9,medium,M,5,6139,0
A,Ship,6,1,123,2,high,M,62,4236,0
D,Flight,3,1,247,5,low,M,24,6736,1
F,Road,7,3,289,5,high,M,49,5029,0
B,Flight,6,3,145,3,low,M,39,2864,1
B,Ship,6,3,51,3,medium,F,0,3096,1
B,Road,6,2,251,10,medium,M,45,5832,1
D,Ship,2,5,86,7,medium,F,38,7698,0
D,Ship,6,3,140,8,low,F,9,5729,0
C,Flight,5,5,282,5,low,F,48,4509,1
B,Flight,2,4,196,4,medium,F,13,5771,0
C,Flight,2,1,292,4,medium,F,45,840,0
B,Road,6,2,90,6,medium,M,39,4072,0
C,Road,7,5,193,7,medium,M,18,4594,0
C,Flight,7,1,164,3,high,M,16,7094,1
F,Road,7,2,261,8,medium,M,45,5075,0
C,Road,7,1,237,8,medium,F,64,1713,0
D,Flight,5,3,234,2,low,F,37,1145,1
C,Ship,7,3,277,8,low,F,16,4538,1
B,Road,3,1,113,5,low,M,10,1574,0
C,Road,6,2,54,5,medium,M,52,2946,1
A,Ship,2,1,195,4,low,F,17,6037,1
B,Ship,3,4,121,10,medium,F,6,5537,1
A,Ship,7,2,190,4,medium,M,34,3297,0
B,Flight,3,2,154,5,high,F,43,3647,0
D,Ship,2,1,123,4,medium,F,38,752,0
D,Flight,7,5,85,9,medium,M,10,2245,0
D,Ship,3,1,196,9,low,F,9,5260,0
A,Ship,5,5,208,9,low,F,8,7577,1
F,Flight,5,2,277,6,low,F,7,7345,1
B,Flight,6,3,142,8,low,F,47,6197,1
D,Ship,6,3,158,4,high,F,20,840,0
B,Ship,3,1,72,9,medium,F,5,3082,0
A,Ship,2,5,209,3,low,F,58,6548,0
F,Road,5,1,162,9,high,M,22,2481,1
A,Ship,4,4,60,7,medium,M,34,5646,0
B,Flight,6,1,243,3,medium,M,11,2864,1
F,Road,5,1,273,7,low,M,56,1643,1
F,Flight,7,1,299,3,medium,M,28,2526,0
A,Road,3,1,182,4,medium,M,60,4752,1
D,Road,5,5,298,6,medium,F,60,7202,1
B,Flight,5,5,144,2,low,M,29,7961,0
C,Road,3,5,62,10,high,F,26,7492,1
C,Flight,6,4,135,4,medium,M,29,7739,0
A,Ship,6,4,241,2,medium,F,54,4144,0
B,Road,4,1,84,7,low,F,22,6410,0
B,Flight,4,5,132,2,low,M,36,5933,1
A,Road,6,4,78,4,high,M,25,3239,1
B,Flight,6,3,200,8,medium,F,35,3717,1
D,Ship,6,1,132,5,low,F,62,2591,1
A,Ship,6,2,129,10,low,M,36,7739,0
D,Road,5,5,144,8,low,M,50,2727,1
B,Road,4,1,193,6,medium,F,62,6987,1
A,Flight,3,1,203,10,low,M,36,6096,1
B,Flight,2,2,52,4,high,M,30,2494,0
A,Road,3,3,171,9,low,F,24,544,0
B,Flight,7,4,173,9,low,F,24,3479,0
D,Flight,2,4,72,5,medium,M,45,3387,1
D,Flight,5,2,234,2,medium,M,29,1719,0
B,Road,7,2,186,5,medium,M,19,7457,1
A,Ship,4,4,228,10,medium,M,22,5195,1
C,Ship,2,3,265,2,medium,M,0,6948,1
D,Flight,6,3,82,4,low,M,14,1653,0
D,Road,7,1,255,9,medium,F,20,7231,0
C,Flight,5,2,141,4,low,M,29,7871,1
B,Ship,2,2,73,3,high,F,10,4493,0
A,Flight,6,2,156,2,medium,M,51,4422,1
B,Ship,7,4,99,10,medium,F,29,6629,1
F,Road,5,4,101,4,low,F,8,3533,0
D,Flight,7,4,248,8,low,M,46,5963,1
F,Road,2,3,87,4,medium,M,33,1458,1
D,Flight,6,4,93,9,low,M,32,5533,0
D,Flight,4,1,138,10,low,F,64,2095,1
F,Flight,5,4,175,9,low,M,50,2862,1
F,Flight,2,3,105,6,medium,F,30,7692,1
B,Flight,6,2,243,3,high,F,55,2524,0
F,Road,4,1,94,7,low,F,44,6068,0
B,Road,7,3,229,9,medium,F,32,2801,1
B,Ship,6,5,178,3,low,M,50,6512,0
B,Flight,4,2,136,7,medium,F,4,3987,0
D,Ship,2,4,288,8,low,F,37,2979,0
D,Road,6,3,165,10,medium,M,4,7408,0
F,Ship,6,5,281,10,medium,F,55,2348,0
D,Road,3,3,259,3,low,M,24,6539,0
F,Flight,5,4,113,2,low,F,51,3803,1
D,Ship,6,3,288,8,low,F,35,5094,0
A,Ship,4,5,185,7,medium,F,22,4715,1
A,Ship,5,3,275,5,medium,M,7,5269,0
F,Ship,2,1,220,10,medium,M,30,6309,1
D,Flight,5,1,185,2,low,M,62,3527,1
D,Road,3,4,78,8,low,M,20,4298,0
B,Road,2,5,62,6,low,M,49,5199,1
C,Flight,6,5,178,6,medium,F,28,3623,0
F,Road,7,5,78,7,medium,F,59,4165,1
C,Ship,2,5,227,3,low,M,43,7763,0
C,Flight,2,5,86,4,medium,F,1,6193,0
F,Road,3,2,50,10,low,M,14,3944,1
D,Flight,4,3,157,5,medium,F,38,3755,0
F,Flight,2,5,118,7,medium,F,39,2032,1
C,Road,4,1,166,4,medium,M,46,4897,1
D,Road,5,3,225,4,low,F,51,3610,1
A,Flight,7,4,232,10,low,M,5,3098,0
F,Flight,3,4,291,10,low,F,47,3500,0
F,Road,6,5,243,4,medium,M,57,6415,0
D,Flight,2,2,160,4,low,F,2,7320,0
A,Road,7,2,112,7,high,M,45,5453,1
A,Flight,7,3,71,2,medium,F,17,3790,1
D,Flight,4,2,143,6,low,F,55,4786,1
B,Flight,2,4,60,10,high,F,32,7916,1
F,Road,7,5,78,10,low,M,16,4462,1
F,Ship,3,1,155,9,high,M,31,7054,1
C,Road,6,4,52,7,low,F,1,7200,0
D,Flight,5,4,222,10,low,F,25,2414,0
C,Ship,5,3,254,4,medium,F,38,898,0
C,Ship,4,2,297,10,low,F,62,5475,1
A,Flight,7,1,52,9,high,M,16,4480,1
F,Road,5,1,123,2,low,M,33,585,0
C,Ship,4,2,245,10,low,F,18,7966,0
A,Ship,6,5,63,9,high,F,61,4566,0
D,Road,2,2,264,9,medium,F,31,3210,1
C,Road,3,5,130,7,low,M,49,2098,1
F,Ship,6,1,114,10,low,M,44,6233,1
C,Road,6,3,234,9,low,M,53,3259,1
D,Ship,5,4,192,3,low,F,0,7528,1
C,Flight,5,1,237,7,high,F,65,4536,0
F,Road,3,1,231,9,high,F,39,4250,1
A,Ship,2,1,166,7,medium,M,23,5681,0
F,Road,6,4,179,10,high,M,51,3314,1
A,Road,7,5,131,6,low,M,1,6506,1
B,Ship,5,3,241,9,low,M,60,1366,1
F,Flight,6,3,280,3,low,M,26,1193,0
F,Ship,2,3,263,6,medium,M,65,6876,0
D,Road,4,5,77,2,high,M,32,3905,0
C,Ship,2,2,143,6,low,M,33,6773,0
A,Road,6,2,254,8,medium,F,61,6892,0
A,Ship,6,3,297,2,medium,F,31,7670,0
D,Flight,3,1,116,4,low,M,2,4486,0
D,Flight,6,1,52,7,low,M,54,4541,1
C,Flight,5,4,286,2,low,M,26,7477,0
C,Flight,7,2,230,4,medium,M,7,6944,1
F,Ship,3,1,203,9,low,F,19,3969,1
B,Flight,6,3,53,10,medium,F,51,4294,1
C,Ship,2,4,193,8,high,F,16,4320,0
D,Road,6,2,141,5,low,M,32,7418,0
C,Road,2,4,121,8,high,M,54,7670,1
A,Road,2,1,231,8,low,M,15,4468,0
B,Flight,6,3,153,8,low,F,63,6055,1
F,Flight,2,3,65,9,medium,F,39,1930,0
A,Flight,7,3,80,5,low,F,57,4992,1
A,Road,4,1,136,5,low,M,22,7216,1
B,Road,3,5,179,10,low,M,6,6127,1
F,Road,6,3,122,9,medium,F,58,5023,1
D,Road,4,5,140,5,high,F,58,7677,0
F,Ship,2,3,222,7,low,F,2,1238,0
C,Ship,2,5,103,10,low,M,29,4498,1
A,Flight,3,2,236,7,medium,M,9,3988,1
C,Flight,4,2,236,6,high,F,12,7563,1
D,Road,4,3,199,8,low,F,38,5376,1
C,Ship,6,4,285,3,low,M,63,5333,1
F,Ship,2,4,211,9,low,F,24,7912,1
C,Flight,5,1,122,8,high,M,40,4614,0
D,Ship,6,2,274,7,low,M,39,5319,1
D,Flight,6,2,177,4,medium,F,61,7729,0
D,Road,6,4,279,10,low,M,39,5302,1
F,Road,3,3,233,3,low,F,33,6214,1
D,Flight,3,1,211,5,low,M,2,5538,0
A,Road,6,2,148,3,low,M,51,2066,0
D,Road,7,1,299,7,low,M,45,1926,0
C,Ship,5,2,288,8,low,M,40,2589,0
C,Ship,4,5,203,10,medium,M,59,7886,0
C,Ship,4,5,248,7,low,M,28,4862,1
F,Ship,2,1,222,7,low,M,7,2786,0
C,Ship,4,4,289,6,medium,M,3,7963,1
F,Flight,4,4,286,5,low,M,24,4414,0
F,Flight,5,2,268,5,low,M,49,4036,1
D,Ship,4,5,125,5,low,F,22,4437,0
A,Road,5,5,258,6,high,M,24,869,1
D,Road,3,1,198,2,low,M,20,1212,0
D,Flight,5,1,220,3,low,F,55,2970,1
F,Flight,3,4,135,4,low,F,2,4061,0
F,Flight,5,4,267,8,low,F,20,1866,1
C,Road,6,4,88,2,medium,F,48,7547,1
C,Flight,7,3,190,4,high,F,45,4416,0
D,Road,3,5,283,8,medium,F,30,3221,0
B,Flight,3,5,219,7,low,M,45,1437,1
B,Road,4,1,94,3,medium,M,43,7406,1
C,Flight,3,5,136,5,medium,F,44,5316,0
B,Flight,5,1,228,2,low,F,48,5283,1
C,Road,6,3,271,6,low,F,3,6239,0
F,Flight,6,4,168,3,low,F,56,7769,1
D,Ship,4,3,66,9,low,F,55,2434,1
A,Road,5,4,268,7,low,M,37,1810,0
D,Flight,5,4,133,2,low,M,5,4642,1
C,Road,2,1,240,3,high,F,23,4643,1
C,Flight,3,4,184,5,low,F,51,4982,1
D,Ship,4,3,232,4,low,F,38,1824,1
C,Flight,6,2,181,10,low,F,36,5797,0
B,Flight,7,1,290,2,low,M,33,7958,0
B,Ship,2,4,80,8,low,F,39,2583,1
C,Road,5,4,143,10,low,M,39,909,1
C,Flight,3,5,144,10,medium,M,36,2674,1
B,Flight,6,1,233,7,high,M,49,5159,1
C,Ship,2,1,181,8,low,M,10,1803,0
C,Road,5,3,131,9,medium,M,58,3833,0
D,Road,6,2,133,4,low,M,25,4410,1
A,Ship,6,3,89,6,low,M,59,5927,1
B,Ship,5,3,153,5,low,M,7,4623,1
D,Flight,5,3,294,10,medium,M,27,2592,1
A,Ship,4,2,161,10,high,M,59,3137,1
C,Ship,6,3,96,5,medium,F,9,2074,0
C,Ship,5,1,99,3,high,F,62,4040,0
D,Road,7,2,200,2,medium,M,60,1150,0
C,Ship,7,4,100,4,medium,F,25,2239,1
F,Flight,2,5,87,3,medium,F,22,5868,0
D,Flight,3,5,186,6,medium,F,62,6309,0
A,Flight,7,1,238,7,medium,F,18,6805,0
D,Ship,4,5,257,10,medium,M,17,1302,0
B,Road,5,5,198,5,low,M,49,5223,1
D,Ship,3,5,58,5,low,M,18,4026,1
C,Ship,4,4,165,5,medium,F,14,6888,1
C,Flight,6,5,74,2,low,F,15,5386,1
F,Ship,3,3,162,4,medium,F,19,628,0
F,Road,7,1,85,5,low,M,18,2439,1
F,Flight,4,1,160,2,high,M,18,7315,1
A,Road,5,1,220,6,medium,F,30,4693,0
F,Road,5,4,127,10,low,M,51,3241,0
A,Road,4,4,130,2,medium,M,47,1637,0
F,Ship,6,5,77,8,low,F,7,4487,0
A,Ship,7,3,241,3,low,F,49,3905,1
D,Ship,4,5,94,10,high,M,60,5304,0
D,Ship,2,1,154,5,medium,F,7,2763,1
C,Flight,4,3,233,4,low,M,12,4415,0
A,Ship,4,1,97,8,low,M,18,3381,1
B,Flight,7,3,185,7,medium,M,49,1906,1
C,Road,5,2,191,9,medium,F,22,3005,0
D,Flight,6,4,64,10,medium,F,56,2688,0
A,Ship,4,4,177,8,medium,F,29,3282,1
F,Flight,3,1,216,7,high,M,28,6177,0
B,Ship,5,1,202,9,medium,F,60,7563,1
D,Ship,5,2,112,10,low,F,34,1899,1
C,Flight,4,5,108,9,medium,F,8,4493,0
A,Flight,7,3,252,7,low,M,24,7700,1
B,Road,3,2,206,9,high,M,63,2076,0
A,Road,4,2,52,10,low,F,36,6347,1
F,Road,3,1,88,7,medium,F,37,2036,1
C,Road,5,1,71,7,medium,M,7,3836,0
A,Road,3,5,150,3,low,F,39,5586,1
D,Flight,4,5,176,10,low,M,22,6830,1
C,Road,2,1,218,9,medium,M,44,1644,1
D,Flight,2,4,69,6,high,F,0,4683,0
A,Road,3,5,196,4,medium,F,48,7582,1
C,Ship,7,2,190,10,medium,F,8,6157,1
D,Road,4,1,140,8,low,M,39,7194,1
F,Ship,6,3,68,10,high,M,27,1321,1
F,Flight,2,3,257,8,low,F,7,1896,1
A,Road,5,4,115,9,low,M,36,4745,1
C,Flight,4,1,242,6,low,F,17,4051,0
B,Road,4,2,180,7,high,M,43,2260,1
C,Flight,2,4,201,9,medium,F,15,4540,0
F,Road,6,2,285,8,low,F,51,6530,1
D,Road,5,3,87,2,low,M,52,5065,1
B,Ship,6,2,179,5,high,F,17,7107,1
A,Flight,5,3,233,9,low,F,39,3926,1
B,Flight,2,5,257,10,low,F,60,4940,0
A,Flight,4,3,270,7,medium,F,24,2134,1
B,Flight,5,3,86,5,low,M,34,2145,0
A,Flight,4,4,285,3,low,F,26,1112,0
A,Ship,3,4,181,10,high,M,9,1892,0
B,Road,3,1,127,2,medium,F,19,7790,1
B,Ship,2,1,258,6,low,F,32,6056,0
A,Flight,2,3,221,9,medium,F,10,5885,0
F,Flight,7,5,94,5,medium,F,58,2243,0
B,Road,2,1,130,2,low,F,65,901,0
C,Ship,3,3,133,5,medium,M,52,4704,0
D,Road,5,4,173,6,low,F,37,4389,1
A,Road,6,1,224,6,medium,M,9,4112,1
A,Ship,2,1,142,2,low,F,5,2436,0
D,Road,6,3,282,3,medium,M,33,7981,0
F,Ship,6,3,203,7,medium,M,48,2546,0
D,Ship,3,2,155,6,low,F,31,7415,0
B,Flight,7,2,151,10,low,F,28,4663,0
D,Road,5,5,258,8,medium,F,64,6568,0
A,Flight,3,1,253,6,high,F,32,2626,0
D,Road,2,2,297,10,medium,M,16,1266,0
C,Road,3,3,141,2,low,F,48,3191,0
B,Flight,3,1,186,4,low,F,15,5632,0
D,Flight,3,2,145,3,low,M,6,4773,0
A,Flight,2,5,275,8,medium,M,12,7720,0
B,Ship,2,5,129,10,high,M,3,6699,0
A,Road,3,5,97,3,low,M,62,4409,1
F,Ship,3,5,295,7,low,F,14,3896,1
C,Road,6,3,80,3,high,M,4,6698,0
F,Road,5,5,232,4,medium,M,41,7444,0
C,Ship,6,4,268,2,medium,M,17,5561,1
D,Ship,7,5,270,7,low,M,7,7061,0
B,Road,5,2,50,3,medium,M,25,1080,0
D,Flight,7,1,175,4,low,M,32,3117,1
C,Flight,5,2,268,7,low,F,21,7447,0
C,Flight,3,1,294,7,low,M,0,5376,1
C,Flight,6,3,273,5,high,F,34,3407,1
A,Road,5,1,236,2,low,F,55,634,0
B,Flight,7,4,188,8,medium,M,2,2604,1
D,Flight,5,5,294,3,high,M,0,4220,0
D,Flight,2,2,276,7,low,F,41,3341,1
F,Road,5,1,179,8,medium,M,57,6484,0
C,Ship,3,2,95,3,medium,F,63,5930,0
C,Flight,4,5,50,7,low,F,3,2058,1
C,Road,2,3,119,2,low,M,16,2392,0
D,Road,4,5,248,7,low,F,39,7339,0
F,Flight,3,3,115,9,low,F,33,2701,1
A,Ship,4,2,51,9,low,M,55,7271,1
B,Ship,5,3,288,8,medium,M,10,2110,1
A,Ship,4,3,294,5,low,M,39,7076,0
D,Road,6,3,118,5,medium,M,12,3136,0
C,Flight,3,3,62,6,medium,M,23,1486,1
B,Flight,6,3,196,9,medium,F,33,6069,0
D,Road,4,1,132,5,medium,M,7,4867,0
D,Flight,6,3,96,10,medium,M,6,1510,1
D,Flight,2,3,178,4,medium,M,61,3155,0
B,Ship,4,5,276,10,low,F,45,5578,1
B,Flight,7,5,298,3,low,F,12,5871,0
F,Flight,6,5,195,7,high,M,1,3644,0
F,Road,5,3,162,6,medium,F,1,4563,1
A,Road,4,5,298,6,medium,F,28,2167,0
B,Ship,7,1,81,7,medium,F,57,6949,1
B,Road,2,2,145,8,low,F,1,1309,0
B,Ship,5,5,294,5,medium,F,58,7648,0
F,Ship,4,5,249,5,medium,F,52,2019,0
D,Flight,5,1,60,10,medium,M,60,3197,1
C,Ship,4,4,197,5,low,M,48,4471,1
F,Flight,4,4,57,9,low,M,45,3555,0
B,Ship,3,1,269,2,low,F,58,6699,1
F,Road,6,5,262,5,low,M,47,7870,0
A,Road,4,2,151,3,low,M,8,719,1
B,Road,2,5,215,6,low,M,17,5297,1
A,Ship,7,1,55,3,medium,M,49,3711,0
B,Ship,6,1,51,8,medium,M,26,6171,1
F,Flight,3,3,251,8,low,F,31,3528,0
D,Flight,6,1,283,10,medium,M,65,5408,0
C,Flight,6,3,122,5,high,M,65,1493,0
A,Flight,4,1,232,6,low,F,21,5333,0
F,Ship,2,3,52,4,high,F,23,6053,0
D,Ship,4,3,115,8,low,F,12,5558,0
F,Flight,2,5,277,6,high,M,14,6009,0
A,Ship,2,3,249,10,high,M,48,5940,1
C,Ship,5,4,250,8,low,M,16,7132,0
F,Ship,4,1,75,5,low,M,38,1023,1
B,Ship,3,2,275,8,medium,F,3,7642,1
D,Flight,7,1,225,2,low,F,56,7921,1
F,Flight,6,5,143,3,medium,F,14,3655,0
D,Ship,5,5,151,4,medium,F,42,4759,0
B,Road,3,3,185,6,low,M,30,2201,0
C,Flight,7,5,244,6,low,M,5,5027,1
C,Flight,7,5,124,8,medium,F,58,3490,1
B,Road,4,1,138,10,low,F,64,6390,0
D,Flight,2,4,165,10,low,F,29,7152,1
F,Road,4,4,246,7,medium,F,57,7333,0
B,Road,7,3,253,8,medium,F,55,3494,1
A,Ship,4,5,296,9,low,M,35,6816,1
D,Flight,5,5,79,5,low,F,45,7815,1
C,Road,3,4,204,8,medium,F,0,1249,1
B,Ship,7,3,92,7,medium,M,11,4257,0
C,Flight,5,5,182,9,low,M,9,1851,1
D,Ship,3,3,69,2,low,F,0,5758,1
C,Ship,5,1,101,6,high,M,18,4447,1
B,Road,6,5,70,4,medium,M,54,4011,1
D,Flight,2,5,180,10,low,M,48,2420,0
A,Ship,2,5,90,10,medium,F,54,7185,1
B,Road,2,4,173,4,low,M,40,2607,0
F,Road,6,4,291,3,low,F,54,7580,1
B,Ship,7,5,241,6,high,M,42,7847,1
D,Ship,7,5,157,5,medium,F,56,2567,0
B,Road,6,1,296,8,medium,F,47,6753,1
A,Ship,2,1,245,9,medium,M,49,5905,1
A,Ship,2,3,265,5,medium,M,7,5920,1
F,Flight,3,3,248,4,high,M,55,7871,0
C,Road,3,4,201,10,high,F,25,4863,0
D,Ship,4,2,101,9,medium,F,22,1306,0
D,Road,5,1,252,8,high,M,40,3637,1
C,Flight,3,3,51,9,medium,M,58,5834,0
A,Road,3,1,296,9,medium,M,17,5485,1
A,Road,3,1,93,9,low,F,7,5566,0
B,Road,3,2,90,2,high,F,57,5283,1
F,Flight,6,1,119,5,high,M,16,1792,1
F,Flight,4,2,56,8,low,F,50,3377,0
F,Road,3,2,87,7,low,M,32,3077,0
B,Road,7,1,259,4,low,M,29,4742,0
F,Flight,5,1,222,4,low,F,65,5774,1
C,Ship,3,3,58,5,low,M,59,5502,1
B,Flight,6,1,102,7,medium,M,45,7144,0
C,Road,7,1,77,2,low,M,21,5649,1
B,Ship,2,1,177,5,low,M,31,5236,0
F,Ship,2,3,68,10,low,M,24,5056,1
C,Ship,4,2,245,8,low,F,7,5755,0
C,Flight,2,3,181,7,low,M,62,1074,1
C,Flight,3,1,62,6,low,M,28,2185,0
B,Flight,6,5,269,3,medium,F,39,6791,1
D,Flight,4,1,298,3,low,M,44,5441,1
F,Road,7,3,60,7,medium,F,1,4225,0
C,Ship,3,3,294,10,high,M,48,3395,1
D,Road,2,4,51,10,medium,F,30,1670,1
F,Flight,5,5,247,2,low,F,8,6426,1
F,Flight,3,3,189,8,low,F,9,5487,0
C,Road,5,2,175,8,high,M,50,3865,0
C,Ship,7,1,296,3,medium,F,43,1980,0
B,Ship,5,2,281,5,low,F,25,5925,0
D,Flight,7,3,214,9,low,F,20,1913,0
D,Flight,4,3,105,7,low,F,29,6669,1
C,Flight,6,2,137,8,low,F,14,1188,0
F,Flight,2,2,101,7,medium,M,58,1623,1
C,Ship,2,4,296,10,medium,F,19,3079,1
F,Road,3,1,174,10,high,M,52,3932,0
F,Ship,2,2,250,7,low,F,1,2188,1
C,Road,4,1,267,7,medium,F,29,3170,1
A,Flight,2,5,181,10,low,M,7,5723,1
D,Flight,3,3,154,10,medium,M,39,6030,1
F,Road,2,2,285,4,low,M,7,5235,0
F,Flight,6,5,181,8,medium,M,16,5640,1
A,Ship,7,3,226,4,medium,M,29,7870,0
B,Flight,5,4,101,5,low,M,0,966,1
A,Flight,5,3,83,10,high,F,63,6528,1
A,Flight,7,2,71,9,medium,M,35,5613,0
F,Flight,5,5,190,7,low,M,48,1400,1
D,Ship,6,5,112,7,medium,M,23,589,1
A,Road,4,5,64,9,high,F,3,4666,1
B,Flight,3,3,217,3,high,M,61,2176,1
C,Flight,6,1,87,6,medium,F,8,1251,1
A,Ship,3,1,154,8,medium,F,25,3147,0
A,Ship,4,3,295,4,low,M,46,867,0
B,Ship,6,2,284,9,low,M,15,4747,0
D,Flight,2,3,104,4,high,M,36,1237,0
A,Road,4,1,221,5,medium,F,10,5658,0
A,Ship,5,3,166,7,low,M,1,6327,0
D,Ship,6,5,169,7,medium,M,22,583,1
B,Ship,4,2,115,3,low,F,46,5824,0
A,Road,4,2,115,3,low,F,61,5164,1
D,Flight,6,4,220,4,medium,M,38,4911,0
A,Flight,5,3,121,4,low,M,5,1320,0
C,Flight,7,5,215,5,low,F,35,4561,0
F,Ship,5,3,259,5,high,F,61,7512,0
C,Flight,4,4,295,5,low,M,59,7818,1
A,Ship,3,4,206,4,low,F,35,6577,1
B,Road,7,3,124,2,medium,F,30,5696,1
F,Road,7,3,233,10,low,F,39,5017,0
C,Flight,4,3,183,3,medium,M,59,4909,0
D,Ship,6,1,58,4,low,M,12,5482,1
B,Ship,6,4,199,3,high,M,36,6496,0
C,Flight,6,2,223,7,medium,M,60,4481,1
D,Road,5,1,292,7,medium,M,17,7831,0
A,Road,2,5,138,2,low,M,17,7596,0
D,Road,6,2,299,5,low,F,33,2091,0
C,Road,6,2,80,6,low,M,53,1692,0
C,Road,7,2,70,7,medium,F,30,3960,0
A,Flight,3,4,87,6,low,F,36,7230,1
D,Flight,3,5,101,4,low,M,57,3059,1
D,Flight,4,1,196,4,low,F,52,643,0
A,Road,4,5,187,4,low,F,61,6975,1
D,Road,4,1,223,7,medium,F,6,4356,1
A,Flight,6,4,278,5,low,F,30,5778,1
B,Flight,3,5,125,5,medium,M,39,4795,0
C,Road,4,2,132,4,low,F,49,3455,1
B,Ship,3,5,243,5,medium,M,8,2427,1
F,Flight,6,4,128,9,low,F,64,1792,0
F,Road,7,4,87,4,medium,M,24,6506,1
F,Road,6,4,111,4,low,M,7,2698,1
A,Flight,4,1,121,7,low,M,38,7928,0
D,Ship,6,5,223,2,low,M,31,1467,0
B,Road,6,2,212,7,medium,F,7,7926,0
B,Flight,3,2,151,10,low,F,12,5234,1
B,Road,2,3,220,4,low,F,65,3550,1
B,Road,5,4,177,3,medium,F,27,6072,1
F,Road,4,2,207,4,low,F,3,7453,1
B,Road,2,4,122,4,medium,F,22,7965,1
D,Ship,7,2,112,3,high,M,33,4876,0
F,Flight,4,5,207,5,medium,M,54,1107,0
B,Flight,2,3,162,9,high,F,57,5187,1
A,Flight,6,4,132,8,high,F,18,5694,0
C,Flight,4,1,206,10,high,F,8,7307,1
C,Flight,2,1,243,9,low,M,22,7260,0
C,Ship,5,2,269,8,low,F,12,1099,1
F,Road,6,5,249,7,medium,F,30,6769,1
B,Road,4,4,266,4,low,F,18,5033,0
F,Flight,7,3,251,5,high,F,4,6042,0
D,Road,7,5,71,9,high,F,38,3887,0
A,Road,4,2,212,3,high,F,13,2928,0
A,Road,2,5,219,7,low,F,21,545,1
C,Flight,4,3,201,2,low,M,21,7088,0
C,Flight,6,5,75,8,medium,F,4,4001,0
C,Ship,3,4,208,5,low,M,61,1417,1
